Chromosome	Start	End	Num_Probes	Segment_Mean
1	65509	249212623	22888	0
2	41459	243037218	17336	0
3	239350	197765578	13448	0
4	53238	48034983	2643	0
4	48034984	48035083	1	-1.0
4	48035084	107248718	3187	0
4	107248719	107248818	1	1.0
4	107248819	190981567	3360	0
5	140384	180687847	10430	0
6	203388	71569968	6216	0
6	71569969	71570068	1	-1.0
6	71570069	170893657	5542	0
7	193220	108209945	7697	0
7	108209946	108210045	1	1.0
7	108210046	159025951	3780	0
8	182713	146279543	8000	0
9	154730	141071759	9210	0
10	95122	135473116	9519	0
11	193051	134856681	12839	0
12	176060	10572101	1793	0
12	10572102	10572201	1	-1.0
12	10572202	133811022	11394	0
13	19600474	96285525	2988	0
13	96285526	96285625	1	-1.0
13	96285626	101777071	394	0
13	101777072	101777171	1	-1.0
13	101777172	115091802	773	0
14	19685130	107283157	7682	0
15	20169986	102462870	8274	0
16	81703	30793852	4421	0
16	30793853	30793952	1	1.58496250072
16	30793953	90161242	4922	0
17	6003	81083625	12916	0
18	116844	28711501	1571	0
18	28711502	28711601	1	1.0
18	28711602	78005277	2103	0
19	107093	44251624	8932	0
19	44251625	44251724	1	1.80735492206
19	44251725	59084001	4354	0
20	68259	62959313	5585	0
21	9825763	48084354	2481	0
22	16157525	51220743	5060	0
23	200849	55172549	3366	0
23	55172550	55172649	1	-1.0
23	55172650	69498523	347	0
23	69498524	69498623	1	0.584962500721
23	69498624	155237368	4431	0
24	150849	59340374	522	0
