Chromosome	Start	End	Num_Probes	Segment_Mean
1	65509	249212623	22888	0
2	41459	113240046	7743	0
2	113240047	113240146	1	-1.0
2	113240147	243037218	9592	0
3	239350	57131876	5388	0
3	57131877	57131976	1	0.584962500721
3	57131977	197765578	8059	0
4	53238	24572444	1714	0
4	24572445	24572544	1	-1.0
4	24572545	190981567	7478	0
5	140384	180687847	10430	0
6	203388	170893657	11760	0
7	193220	92080068	5537	0
7	92080069	92080168	1	-1.0
7	92080169	100634849	1222	0
7	100634850	100634949	1	1.80735492206
7	100634950	158826967	4701	0
7	158826968	158827067	1	-1.0
7	158827068	159025951	14	0
8	182713	146279543	8000	0
9	154730	141071759	9210	0
10	95122	11653709	621	0
10	11653710	11653809	1	-1.0
10	11653810	99667867	5742	0
10	99667868	99667967	1	0.584962500721
10	99667968	103902905	589	0
10	103902906	103903005	1	-1.0
10	103903006	127548203	1937	0
10	127548204	127548303	1	-1.0
10	127548304	135473116	625	0
11	193051	124135205	12010	0
11	124135206	124135305	1	-1.0
11	124135306	134856681	828	0
12	176060	133811022	13188	0
13	19600474	115091802	4157	0
14	19685130	106331727	7559	0
14	106331728	106331827	1	1.0
14	106331828	106866414	82	0
14	106866415	106866514	1	2.0
14	106866515	107283157	38	0
15	20169986	74219182	5758	0
15	74219183	74219282	1	-1.0
15	74219283	102462870	2515	0
16	81703	204092	58	0
16	204093	204192	1	1.0
16	204193	66670480	6252	0
16	66670481	66670580	1	1.58496250072
16	66670581	90161242	3032	0
17	6003	19316977	3578	0
17	19316978	19317077	1	-1.0
17	19317078	81083625	9337	0
18	116844	78005277	3675	0
19	107093	19651063	5671	0
19	19651064	19651163	1	1.58496250072
19	19651164	59084001	7615	0
20	68259	1223427	128	0
20	1223428	1223527	1	1.58496250072
20	1223528	62959313	5456	0
21	9825763	31234023	466	0
21	31234024	31234123	1	-1.0
21	31234124	47735275	1898	0
21	47735276	47735375	1	-1.0
21	47735376	48084354	115	0
22	16157525	21344866	756	0
22	21344867	21344966	1	-1.0
22	21344967	51220743	4303	0
23	200849	155237368	8146	0
24	150849	59340374	522	0
