Chromosome	Start	End	Num_Probes	Segment_Mean
1	65509	53108598	7737	0
1	53108599	53108698	1	-1.0
1	53108699	249212623	15150	0
2	41459	102456414	7138	0
2	102456415	102456514	1	1.32192809489
2	102456515	234878515	9262	0
2	234878516	234878615	1	-1.0
2	234878616	243037218	934	0
3	239350	197765578	13448	0
4	53238	190981567	9193	0
5	140384	180687847	10430	0
6	203388	170893657	11760	0
7	193220	159025951	11478	0
8	182713	146279543	8000	0
9	154730	141071759	9210	0
10	95122	104638608	7164	0
10	104638609	104638708	1	0.584962500721
10	104638709	135473116	2354	0
11	193051	134856681	12839	0
12	176060	133811022	13188	0
13	19600474	115091802	4157	0
14	19685130	95236017	6230	0
14	95236018	95236117	1	0.584962500721
14	95236118	107283157	1451	0
15	20169986	102462870	8274	0
16	81703	90161242	9344	0
17	6003	81083625	12916	0
18	116844	78005277	3675	0
19	107093	59084001	13287	0
20	68259	62959313	5585	0
21	9825763	48084354	2481	0
22	16157525	51220743	5060	0
23	200849	53265003	3015	0
23	53265004	53265103	1	-1.0
23	53265104	155237368	5130	0
24	150849	59340374	522	0
