Chromosome	Start	End	Num_Probes	Segment_Mean
1	65509	38273776	5761	0
1	38273777	38273876	1	1.80735492206
1	38273877	156954191	9113	0
1	156954192	156954291	1	-1.0
1	156954292	249212623	8012	0
2	41459	11696771	608	0
2	11696772	11696871	1	-1.0
2	11696872	243037218	16726	0
3	239350	14174376	1019	0
3	14174377	14174476	1	1.32192809489
3	14174477	123440938	7277	0
3	123440939	123441038	1	-1.0
3	123441039	197765578	5150	0
4	53238	190981567	9193	0
5	140384	177420030	9896	0
5	177420031	177420130	1	-1.0
5	177420131	180687847	533	0
6	203388	154439824	10676	0
6	154439825	154439924	1	1.58496250072
6	154439925	170893657	1083	0
7	193220	131163445	8916	0
7	131163446	131163545	1	1.58496250072
7	131163546	159025951	2561	0
8	182713	74204630	4131	0
8	74204631	74204730	1	1.58496250072
8	74204731	102701270	1277	0
8	102701271	102701370	1	1.58496250072
8	102701371	125877469	1066	0
8	125877470	125877569	1	-1.0
8	125877570	146279543	1523	0
9	154730	141071759	9210	0
10	95122	85956225	4950	0
10	85956226	85956325	1	0.584962500721
10	85956326	135473116	4568	0
11	193051	752326	248	0
11	752327	752426	1	1.0
11	752427	134856681	12590	0
12	176060	48741814	4264	0
12	48741815	48741914	1	-1.0
12	48741915	50471722	480	0
12	50471723	50471822	1	1.80735492206
12	50471823	57588458	1904	0
12	57588459	57588558	1	-1.0
12	57588559	71029662	1042	0
12	71029663	71029762	1	1.80735492206
12	71029763	133811022	5493	0
13	19600474	115091802	4157	0
14	19685130	20813145	73	0
14	20813146	20813245	1	-1.0
14	20813246	69257062	4024	0
14	69257063	69257162	1	0.584962500721
14	69257163	104200980	3022	0
14	104200981	104201080	1	1.32192809489
14	104201081	107283157	560	0
15	20169986	102462870	8274	0
16	81703	90161242	9344	0
17	6003	81083625	12916	0
18	116844	28667729	1563	0
18	28667730	28667829	1	1.32192809489
18	28667830	29039061	59	0
18	29039062	29039161	1	0.584962500721
18	29039162	78005277	2051	0
19	107093	59084001	13287	0
20	68259	34053876	2568	0
20	34053877	34053976	1	-1.0
20	34053977	62959313	3016	0
21	9825763	48084354	2481	0
22	16157525	20744878	602	0
22	20744879	20744978	1	2.0
22	20744979	51220743	4456	0
23	200849	155237368	8146	0
24	150849	59340374	522	0
