Chromosome	Start	End	Num_Probes	Segment_Mean
1	65509	54405664	7925	0
1	54405665	54405764	1	-1.0
1	54405765	180793921	9330	0
1	180793922	180794021	1	-1.0
1	180794022	249212623	5631	0
2	41459	74435020	5201	0
2	74435021	74435120	1	2.0
2	74435121	243037218	12134	0
3	239350	197765578	13448	0
4	53238	190981567	9193	0
5	140384	131972948	6013	0
5	131972949	131973048	1	1.58496250072
5	131973049	180687847	4416	0
6	203388	117046959	8440	0
6	117046960	117047059	1	-1.0
6	117047060	170893657	3319	0
7	193220	159025951	11478	0
8	182713	146279543	8000	0
9	154730	141071759	9210	0
10	95122	70532844	3628	0
10	70532845	70532944	1	1.0
10	70532945	105923977	3781	0
10	105923978	105924077	1	-1.0
10	105924078	135473116	2108	0
11	193051	134856681	12839	0
12	176060	13364444	2080	0
12	13364445	13364544	1	1.58496250072
12	13364545	59313731	4959	0
12	59313732	59313831	1	-1.0
12	59313832	133811022	6147	0
13	19600474	42481803	1581	0
13	42481804	42481903	1	1.32192809489
13	42481904	115091802	2575	0
14	19685130	25326421	1431	0
14	25326422	25326521	1	1.80735492206
14	25326522	102900888	5480	0
14	102900889	102900988	1	0.584962500721
14	102900989	107283157	768	0
15	20169986	86077075	7162	0
15	86077076	86077175	1	-1.0
15	86077176	102462870	1111	0
16	81703	1266978	450	0
16	1266979	1267078	1	-1.0
16	1267079	11643397	1600	0
16	11643398	11643497	1	-1.0
16	11643498	90161242	7292	0
17	6003	81083625	12916	0
18	116844	78005277	3675	0
19	107093	6182979	1750	0
19	6182980	6183079	1	2.0
19	6183080	59084001	11536	0
20	68259	62959313	5585	0
21	9825763	30973479	458	0
21	30973480	30973579	1	0.584962500721
21	30973580	48084354	2022	0
22	16157525	51220743	5060	0
23	200849	155237368	8146	0
24	150849	59340374	522	0
