Chromosome	Start	End	Num_Probes	Segment_Mean
1	65509	175048822	16812	0
1	175048823	175048922	1	-1.0
1	175048923	236143339	5116	0
1	236143340	236143439	1	-1.0
1	236143440	249212623	958	0
2	41459	141116412	9151	0
2	141116413	141116512	1	1.32192809489
2	141116513	243037218	8184	0
3	239350	52233423	4671	0
3	52233424	52233523	1	0.584962500721
3	52233524	108356408	2459	0
3	108356409	108356508	1	2.0
3	108356509	197765578	6316	0
4	53238	2834065	539	0
4	2834066	2834165	1	1.58496250072
4	2834166	76727603	3519	0
4	76727604	76727703	1	1.80735492206
4	76727704	190981567	5133	0
5	140384	45262264	2089	0
5	45262265	45262364	1	-1.0
5	45262365	180687847	8340	0
6	203388	170893657	11760	0
7	193220	159025951	11478	0
8	182713	146279543	8000	0
9	154730	141071759	9210	0
10	95122	102762383	6774	0
10	102762384	102762483	1	1.80735492206
10	102762484	134144010	2438	0
10	134144011	134144110	1	1.32192809489
10	134144111	135473116	305	0
11	193051	16863172	2323	0
11	16863173	16863272	1	-1.0
11	16863273	134856681	10515	0
12	176060	53515183	5519	0
12	53515184	53515283	1	-1.0
12	53515284	133811022	7668	0
13	19600474	115091802	4157	0
14	19685130	93303735	5950	0
14	93303736	93303835	1	1.80735492206
14	93303836	107283157	1731	0
15	20169986	31267090	632	0
15	31267091	31267190	1	2.0
15	31267191	99023825	7317	0
15	99023826	99023925	1	1.58496250072
15	99023926	102462870	323	0
16	81703	29645214	4006	0
16	29645215	29645314	1	1.58496250072
16	29645315	90161242	5337	0
17	6003	81083625	12916	0
18	116844	9886701	628	0
18	9886702	9886801	1	-1.0
18	9886802	78005277	3046	0
19	107093	59084001	13287	0
20	68259	40127988	3319	0
20	40127989	40128088	1	1.80735492206
20	40128089	62959313	2265	0
21	9825763	44190879	1686	0
21	44190880	44190979	1	1.0
21	44190980	46898219	473	0
21	46898220	46898319	1	-1.0
21	46898320	48084354	320	0
22	16157525	51220743	5060	0
23	200849	44401989	2114	0
23	44401990	44402089	1	1.32192809489
23	44402090	107331041	3263	0
23	107331042	107331141	1	-1.0
23	107331142	155237368	2767	0
24	150849	4966448	191	0
24	4966449	4966548	1	1.0
24	4966549	59340374	330	0
