Chromosome	Start	End	Num_Probes	Segment_Mean
1	65509	249212623	22888	0
2	41459	243037218	17336	0
3	239350	197765578	13448	0
4	53238	190981567	9193	0
5	140384	180687847	10430	0
6	203388	3045817	138	0
6	3045818	3045917	1	1.32192809489
6	3045918	170893657	11621	0
7	193220	159025951	11478	0
8	182713	146279543	8000	0
9	154730	141071759	9210	0
10	95122	135473116	9519	0
11	193051	65144087	6581	0
11	65144088	65144187	1	1.0
11	65144188	134856681	6256	0
12	176060	133811022	13188	0
13	19600474	115091802	4157	0
14	19685130	36123687	1896	0
14	36123688	36123787	1	1.32192809489
14	36123788	107283157	5785	0
15	20169986	102462870	8274	0
16	81703	90161242	9344	0
17	6003	81083625	12916	0
18	116844	56401600	2912	0
18	56401601	56401700	1	2.0
18	56401701	71985133	500	0
18	71985134	71985233	1	1.80735492206
18	71985234	78005277	261	0
19	107093	59084001	13287	0
20	68259	34240946	2649	0
20	34240947	34241046	1	0.584962500721
20	34241047	62959313	2935	0
21	9825763	48084354	2481	0
22	16157525	45291990	4299	0
22	45291991	45292090	1	2.0
22	45292091	51220743	760	0
23	200849	155237368	8146	0
24	150849	59340374	522	0
