Chromosome	Start	End	Num_Probes	Segment_Mean
3	50313083	50313182	1	0.584962500721
3	105238969	105239068	1	-1.0
3	122060450	122060549	1	1.32192809489
7	6805408	6805507	1	-1.0
7	98576372	98576471	1	1.0
7	105209861	105209960	1	1.58496250072
8	74692679	74692778	1	1.80735492206
10	98824700	98824799	1	-1.0
11	17635188	17635287	1	-1.0
11	118485285	118485384	1	1.32192809489
12	22040724	22040823	1	1.0
14	75576437	75576536	1	1.80735492206
16	1269123	1269222	1	1.80735492206
19	39329196	39329295	1	-1.0
19	58549261	58549360	1	1.58496250072
21	17763907	17764006	1	-1.0
