Chromosome	Start	End	Num_Probes	Segment_Mean
1	65509	155629790	14313	0
1	155629791	155629890	1	1.0
1	155629891	249212623	8574	0
2	41459	24402149	1121	0
2	24402150	24402249	1	1.0
2	24402250	171300459	9786	0
2	171300460	171300559	1	1.32192809489
2	171300560	243037218	6427	0
3	239350	24004684	1524	0
3	24004685	24004784	1	1.32192809489
3	24004785	49899277	2664	0
3	49899278	49899377	1	-1.0
3	49899378	153994047	6509	0
3	153994048	153994147	1	2.0
3	153994148	193311182	2204	0
3	193311183	193311282	1	1.32192809489
3	193311283	197765578	543	0
4	53238	78740607	4293	0
4	78740608	78740707	1	-1.0
4	78740708	190981567	4899	0
5	140384	180687847	10430	0
6	203388	99374632	7462	0
6	99374633	99374732	1	1.58496250072
6	99374733	151773563	2969	0
6	151773564	151773663	1	1.32192809489
6	151773664	170893657	1327	0
7	193220	159025951	11478	0
8	182713	17417980	740	0
8	17417981	17418080	1	1.0
8	17418081	48701697	2231	0
8	48701698	48701797	1	0.584962500721
8	48701798	146279543	5027	0
9	154730	13112989	551	0
9	13112990	13113089	1	-1.0
9	13113090	139922532	8282	0
9	139922533	139922632	1	-1.0
9	139922633	141071759	375	0
10	95122	122626649	8431	0
10	122626650	122626749	1	-1.0
10	122626750	135473116	1087	0
11	193051	134856681	12839	0
12	176060	102174110	9460	0
12	102174111	102174210	1	1.80735492206
12	102174211	133811022	3727	0
13	19600474	24164335	270	0
13	24164336	24164435	1	0.584962500721
13	24164436	32944567	730	0
13	32944568	32944667	1	-1.0
13	32944668	52515186	1247	0
13	52515187	52515286	1	-1.0
13	52515287	115091802	1907	0
14	19685130	21822051	315	0
14	21822052	21822151	1	0.584962500721
14	21822152	107283157	7366	0
15	20169986	93609554	7882	0
15	93609555	93609654	1	-1.0
15	93609655	102462870	391	0
16	81703	90161242	9344	0
17	6003	81083625	12916	0
18	116844	78005277	3675	0
19	107093	59084001	13287	0
20	68259	3584807	506	0
20	3584808	3584907	1	1.0
20	3584908	62959313	5078	0
21	9825763	48084354	2481	0
22	16157525	51220743	5060	0
23	200849	131206925	6594	0
23	131206926	131207025	1	1.0
23	131207026	134994134	196	0
23	134994135	134994234	1	-1.0
23	134994235	155237368	1354	0
24	150849	59340374	522	0
