Chromosome	Start	End	Num_Probes	Segment_Mean
1	65509	214794079	20106	0
1	214794080	214794179	1	2.0
1	214794180	249212623	2781	0
2	41459	64796177	4361	0
2	64796178	64796277	1	1.80735492206
2	64796278	243037218	12974	0
3	239350	197765578	13448	0
4	53238	190981567	9193	0
5	140384	180687847	10430	0
6	203388	170893657	11760	0
7	193220	3991490	449	0
7	3991491	3991590	1	-1.0
7	3991591	159025951	11028	0
8	182713	81897049	4354	0
8	81897050	81897149	1	-1.0
8	81897150	146279543	3645	0
9	154730	5090611	288	0
9	5090612	5090711	1	1.32192809489
9	5090712	141071759	8921	0
10	95122	135473116	9519	0
11	193051	134856681	12839	0
12	176060	120607967	11574	0
12	120607968	120608067	1	2.0
12	120608068	133811022	1613	0
13	19600474	115091802	4157	0
14	19685130	107283157	7682	0
15	20169986	102462870	8274	0
16	81703	90161242	9344	0
17	6003	81083625	12916	0
18	116844	78005277	3675	0
19	107093	59084001	13287	0
20	68259	43254261	3522	0
20	43254262	43254361	1	-1.0
20	43254362	62959313	2062	0
21	9825763	48084354	2481	0
22	16157525	51220743	5060	0
23	200849	124097602	6299	0
23	124097603	124097702	1	1.0
23	124097703	155237368	1846	0
24	150849	21463574	419	0
24	21463575	21463674	1	2.0
24	21463675	59340374	102	0
