Chromosome	Start	End	Num_Probes	Segment_Mean
2	113240047	113240146	1	-1.0
3	57131877	57131976	1	0.584962500721
4	24572445	24572544	1	-1.0
7	92080069	92080168	1	-1.0
7	100634850	100634949	1	1.80735492206
7	158826968	158827067	1	-1.0
10	11653710	11653809	1	-1.0
10	99667868	99667967	1	0.584962500721
10	103902906	103903005	1	-1.0
10	127548204	127548303	1	-1.0
11	124135206	124135305	1	-1.0
14	106331728	106331827	1	1.0
14	106866415	106866514	1	2.0
15	74219183	74219282	1	-1.0
16	204093	204192	1	1.0
16	66670481	66670580	1	1.58496250072
17	19316978	19317077	1	-1.0
19	19651064	19651163	1	1.58496250072
20	1223428	1223527	1	1.58496250072
21	31234024	31234123	1	-1.0
21	47735276	47735375	1	-1.0
22	21344867	21344966	1	-1.0
