Chromosome	Start	End	Num_Probes	Segment_Mean
1	175048823	175048922	1	-1.0
1	236143340	236143439	1	-1.0
2	141116413	141116512	1	1.32192809489
3	52233424	52233523	1	0.584962500721
3	108356409	108356508	1	2.0
4	2834066	2834165	1	1.58496250072
4	76727604	76727703	1	1.80735492206
5	45262265	45262364	1	-1.0
10	102762384	102762483	1	1.80735492206
10	134144011	134144110	1	1.32192809489
11	16863173	16863272	1	-1.0
12	53515184	53515283	1	-1.0
14	93303736	93303835	1	1.80735492206
15	31267091	31267190	1	2.0
15	99023826	99023925	1	1.58496250072
16	29645215	29645314	1	1.58496250072
18	9886702	9886801	1	-1.0
20	40127989	40128088	1	1.80735492206
21	44190880	44190979	1	1.0
21	46898220	46898319	1	-1.0
23	44401990	44402089	1	1.32192809489
23	107331042	107331141	1	-1.0
24	4966449	4966548	1	1.0
