Chromosome	Start	End	Num_Probes	Segment_Mean
1	155629791	155629890	1	1.0
2	24402150	24402249	1	1.0
2	171300460	171300559	1	1.32192809489
3	24004685	24004784	1	1.32192809489
3	49899278	49899377	1	-1.0
3	153994048	153994147	1	2.0
3	193311183	193311282	1	1.32192809489
4	78740608	78740707	1	-1.0
6	99374633	99374732	1	1.58496250072
6	151773564	151773663	1	1.32192809489
8	17417981	17418080	1	1.0
8	48701698	48701797	1	0.584962500721
9	13112990	13113089	1	-1.0
9	139922533	139922632	1	-1.0
10	122626650	122626749	1	-1.0
12	102174111	102174210	1	1.80735492206
13	24164336	24164435	1	0.584962500721
13	32944568	32944667	1	-1.0
13	52515187	52515286	1	-1.0
14	21822052	21822151	1	0.584962500721
15	93609555	93609654	1	-1.0
20	3584808	3584907	1	1.0
23	131206926	131207025	1	1.0
23	134994135	134994234	1	-1.0
