Chromosome	Start	End	Num_Probes	Segment_Mean
1	65509	249212623	22888	0
2	41459	243037218	17336	0
3	239350	52526353	4855	0
3	52526354	52526453	1	2.0
3	52526454	191093002	7959	0
3	191093003	191093102	1	-1.0
3	191093103	197765578	632	0
4	53238	190981567	9193	0
5	140384	139892542	6890	0
5	139892543	139892642	1	-1.0
5	139892643	180687847	3539	0
6	203388	170893657	11760	0
7	193220	159025951	11478	0
8	182713	126114671	6520	0
8	126114672	126114771	1	1.0
8	126114772	146279543	1479	0
9	154730	141071759	9210	0
10	95122	135473116	9519	0
11	193051	57982573	4875	0
11	57982574	57982673	1	1.58496250072
11	57982674	134856681	7963	0
12	176060	133811022	13188	0
13	19600474	23853555	247	0
13	23853556	23853655	1	-1.0
13	23853656	115091802	3909	0
14	19685130	107283157	7682	0
15	20169986	102462870	8274	0
16	81703	90161242	9344	0
17	6003	81083625	12916	0
18	116844	78005277	3675	0
19	107093	59084001	13287	0
20	68259	60504610	4919	0
20	60504611	60504710	1	0.584962500721
20	60504711	62959313	665	0
21	9825763	48084354	2481	0
22	16157525	51220743	5060	0
23	200849	155237368	8146	0
24	150849	59340374	522	0
