Chromosome	Start	End	Num_Probes	Segment_Mean
1	65509	249212623	22888	0
2	41459	28820863	2013	0
2	28820864	28820963	1	-1.0
2	28820964	243037218	15322	0
3	239350	197765578	13448	0
4	53238	190981567	9193	0
5	140384	180687847	10430	0
6	203388	170893657	11760	0
7	193220	159025951	11478	0
8	182713	75263672	4209	0
8	75263673	75263772	1	-1.0
8	75263773	146279543	3790	0
9	154730	130579411	6670	0
9	130579412	130579511	1	0.584962500721
9	130579512	141071759	2539	0
10	95122	135473116	9519	0
11	193051	134856681	12839	0
12	176060	133811022	13188	0
13	19600474	115091802	4157	0
14	19685130	107283157	7682	0
15	20169986	45406909	2815	0
15	45406910	45407009	1	-1.0
15	45407010	102462870	5458	0
16	81703	24946856	3524	0
16	24946857	24946956	1	-1.0
16	24946957	90161242	5819	0
17	6003	81083625	12916	0
18	116844	78005277	3675	0
19	107093	59084001	13287	0
20	68259	3615020	511	0
20	3615021	3615120	1	2.0
20	3615121	62959313	5073	0
21	9825763	48084354	2481	0
22	16157525	17590384	70	0
22	17590385	17590484	1	-1.0
22	17590485	42952024	3932	0
22	42952025	42952124	1	-1.0
22	42952125	43735237	133	0
22	43735238	43735337	1	-1.0
22	43735338	51220743	922	0
23	200849	153178419	7725	0
23	153178420	153178519	1	1.32192809489
23	153178520	155237368	419	0
24	150849	59340374	522	0
