Chromosome	Start	End	Num_Probes	Segment_Mean
1	65509	249212623	22888	0
2	41459	243037218	17336	0
3	239350	197765578	13448	0
4	53238	169294885	8346	0
4	169294886	169294985	1	1.58496250072
4	169294986	190981567	846	0
5	140384	180687847	10430	0
6	203388	170893657	11760	0
7	193220	159025951	11478	0
8	182713	26240727	1589	0
8	26240728	26240827	1	1.80735492206
8	26240828	146279543	6410	0
9	154730	141071759	9210	0
10	95122	135473116	9519	0
11	193051	134856681	12839	0
12	176060	133811022	13188	0
13	19600474	115091802	4157	0
14	19685130	39602957	2086	0
14	39602958	39603057	1	-1.0
14	39603058	107283157	5595	0
15	20169986	102462870	8274	0
16	81703	90161242	9344	0
17	6003	81083625	12916	0
18	116844	78005277	3675	0
19	107093	59084001	13287	0
20	68259	62959313	5585	0
21	9825763	48084354	2481	0
22	16157525	51220743	5060	0
23	200849	155237368	8146	0
24	150849	59340374	522	0
