Chromosome	Start	End	Num_Probes	Segment_Mean
1	65509	249212623	22888	0
2	41459	243037218	17336	0
3	239350	197765578	13448	0
4	53238	190981567	9193	0
5	140384	180687847	10430	0
6	203388	170893657	11760	0
7	193220	159025951	11478	0
8	182713	146279543	8000	0
9	154730	141071759	9210	0
10	95122	135473116	9519	0
11	193051	134856681	12839	0
12	176060	133811022	13188	0
13	19600474	34404038	1097	0
13	34404039	34404138	1	0.584962500721
13	34404139	115091802	3059	0
14	19685130	107283157	7682	0
15	20169986	102462870	8274	0
16	81703	90161242	9344	0
17	6003	33984713	5113	0
17	33984714	33984813	1	-1.0
17	33984814	81083625	7802	0
18	116844	78005277	3675	0
19	107093	59084001	13287	0
20	68259	62959313	5585	0
21	9825763	48084354	2481	0
22	16157525	51220743	5060	0
23	200849	155237368	8146	0
24	150849	59340374	522	0
