Chromosome	Start	End	Num_Probes	Segment_Mean
1	65509	62945364	8475	0
1	62945365	62945464	1	1.0
1	62945465	249212623	14412	0
2	41459	47049383	3375	0
2	47049384	47049483	1	1.80735492206
2	47049484	167760186	7169	0
2	167760187	167760286	1	1.0
2	167760287	243037218	6790	0
3	239350	197765578	13448	0
4	53238	187524422	9123	0
4	187524423	187524522	1	-1.0
4	187524523	190981567	69	0
5	140384	180687847	10430	0
6	203388	170893657	11760	0
7	193220	159025951	11478	0
8	182713	110591970	5847	0
8	110591971	110592070	1	-1.0
8	110592071	146279543	2152	0
9	154730	37436617	2110	0
9	37436618	37436717	1	-1.0
9	37436718	141071759	7098	0
10	95122	3199684	202	0
10	3199685	3199784	1	1.32192809489
10	3199785	75830750	4289	0
10	75830751	75830850	1	1.0
10	75830851	135473116	5026	0
11	193051	134856681	12839	0
12	176060	2905600	353	0
12	2905601	2905700	1	-1.0
12	2905701	42863316	3449	0
12	42863317	42863416	1	1.58496250072
12	42863417	83324370	4536	0
12	83324371	83324470	1	-1.0
12	83324471	133811022	4847	0
13	19600474	115091802	4157	0
14	19685130	34998678	1761	0
14	34998679	34998778	1	-1.0
14	34998779	81734762	3582	0
14	81734763	81734862	1	0.584962500721
14	81734863	107283157	2337	0
15	20169986	102462870	8274	0
16	81703	90161242	9344	0
17	6003	81083625	12916	0
18	116844	78005277	3675	0
19	107093	11597635	3390	0
19	11597636	11597735	1	-1.0
19	11597736	59084001	9895	0
20	68259	62051062	5316	0
20	62051063	62051162	1	-1.0
20	62051163	62959313	268	0
21	9825763	48084354	2481	0
22	16157525	51220743	5060	0
23	200849	605256	37	0
23	605257	605356	1	-1.0
23	605357	129759405	6492	0
23	129759406	129759505	1	-1.0
23	129759506	153760068	1427	0
23	153760069	153760168	1	0.584962500721
23	153760169	155237368	186	0
24	150849	2843590	175	0
24	2843591	2843690	1	2.0
24	2843691	6938842	40	0
24	6938843	6938942	1	-1.0
24	6938943	59340374	305	0
