Chromosome	Start	End	Num_Probes	Segment_Mean
1	65509	10292513	1493	0
1	10292514	10292613	1	-1.0
1	10292614	249212623	21394	0
2	41459	243037218	17336	0
3	239350	37133009	2122	0
3	37133010	37133109	1	-1.0
3	37133110	197765578	11325	0
4	53238	190981567	9193	0
5	140384	180687847	10430	0
6	203388	39328353	4171	0
6	39328354	39328453	1	1.58496250072
6	39328454	170893657	7588	0
7	193220	159025951	11478	0
8	182713	27898750	1778	0
8	27898751	27898850	1	2.0
8	27898851	146279543	6221	0
9	154730	32633536	1280	0
9	32633537	32633636	1	-1.0
9	32633637	141071759	7929	0
10	95122	135473116	9519	0
11	193051	134856681	12839	0
12	176060	133811022	13188	0
13	19600474	115091802	4157	0
14	19685130	107283157	7682	0
15	20169986	102462870	8274	0
16	81703	90161242	9344	0
17	6003	81083625	12916	0
18	116844	21131636	1257	0
18	21131637	21131736	1	1.32192809489
18	21131737	78005277	2417	0
19	107093	59084001	13287	0
20	68259	62959313	5585	0
21	9825763	48084354	2481	0
22	16157525	38895456	3186	0
22	38895457	38895556	1	-1.0
22	38895557	51220743	1873	0
23	200849	155237368	8146	0
24	150849	1521654	97	0
24	1521655	1521754	1	-1.0
24	1521755	5605438	104	0
24	5605439	5605538	1	1.80735492206
24	5605539	59340374	318	0
